# "year", "no", "page", "clipno", "area", "class"
2014,1,80,4,161007,0
2014,9,23,1,730221,1
2014,4,18,1,9576,0
2014,4,39,2,27324,0
2014,7,91,8,2250,0
2014,5,14,0,529857,1
2013,9,87,5,86976,1
2014,4,27,4,752073,1
2013,8,65,2,11232,0
2014,2,62,0,2028,0
2014,1,69,4,741147,1
2014,10,66,4,761178,1
2014,9,35,1,39480,0
2014,10,20,1,1053918,1
2014,1,11,2,50490,0
2014,10,87,2,5508,0
2014,9,90,2,10266,0
2014,6,70,0,3570,0
2014,10,13,3,7956,0
2014,6,56,0,1092537,1
2014,1,51,0,1467726,1
2013,10,86,4,22599,0
2014,9,67,0,1017939,0
2013,9,31,0,2520,0
2013,8,80,3,83331,0
2014,1,87,1,2562,0
2013,9,84,5,3948,0
2014,6,66,0,1425843,1
2014,3,89,1,1453218,1
2014,3,43,0,206244,0
2013,8,63,0,1467726,0
2014,7,96,6,354663,1
2014,10,77,3,1249050,1
2014,7,100,3,42039,1
2014,7,34,1,81252,0
2014,9,86,6,367080,0
2014,10,10,1,1358916,1
2013,8,58,0,1173918,1
2013,8,90,7,5700,0
2014,7,90,0,5700,0
2014,5,29,4,640992,1
2014,9,74,1,78948,0
2014,7,99,2,13671,0
2014,2,72,4,16554,0
2014,7,27,10,205545,1
2013,10,95,4,53820,0
2013,10,55,9,5472,0
2014,2,99,0,37710,0
2014,2,98,3,70875,0
2014,8,93,5,119505,0
2014,10,27,1,1214004,1
2014,3,87,7,46800,1
2013,8,33,0,1003371,1
2014,8,94,5,49506,0
2013,8,97,1,73872,0
2014,1,10,3,543204,1
2014,1,10,4,43524,0
2013,8,42,1,5544,0
2014,1,64,0,1467726,1
2014,7,26,4,9405,0
2014,9,24,1,454896,1
2014,10,87,3,48276,0
2013,8,10,3,43524,0
2014,7,26,6,78210,0
2014,7,99,0,2310,0
2014,9,12,3,22320,0
2014,3,86,5,46500,0
2013,8,33,1,23712,1
2014,9,94,9,73470,0
2014,4,82,0,149760,0
2014,10,98,2,7452,0
2014,5,87,0,2520,0
2014,1,41,0,1467726,1
2013,10,20,2,1467726,1
2013,8,7,0,11232,0
2014,9,98,9,4998,0
2014,2,54,1,223473,0
2014,8,49,8,76650,0
2014,9,94,13,33441,0
2014,9,72,0,35640,0
2014,4,64,9,218943,0
2014,3,80,3,83331,0
2014,3,66,2,88452,0
2014,7,59,2,3900,0
2014,7,3,3,145410,0
2014,7,51,1,1467726,1
2014,2,11,4,70092,0
2014,9,95,5,23232,0
2014,9,27,0,127746,1
2014,10,5,4,123492,0
2014,4,72,2,956370,1
2013,9,12,1,43524,0
2014,3,57,6,53064,0
2014,8,90,0,5700,0
2014,8,44,0,1467726,1
2014,4,46,0,1467726,1
2014,2,58,0,639564,0
2014,5,92,2,115443,0
2014,10,4,7,18966,0
2014,9,76,1,237144,1
2014,5,84,5,3948,0
2013,8,59,5,7488,0
2014,8,5,0,1467726,1
2014,9,39,2,122112,1
2014,10,92,8,5049,0
2014,5,63,4,68034,0
2014,5,93,6,108870,0
2014,6,79,1,1249050,1
2014,5,86,6,120780,0
2014,3,5,3,161376,0
2013,10,67,1,6435,0
2014,6,11,4,690159,1
2013,9,93,5,99459,0
2014,7,80,6,6720,0
2014,6,93,2,5940,0
2014,10,20,3,13734,0
2014,3,94,13,9639,0
2014,8,34,7,57096,0
2013,10,94,14,95277,0
2014,8,53,4,5244,0
2014,8,70,1,899574,1
2014,2,14,4,712530,1
2013,9,19,4,29304,0
2014,9,47,1,330264,0
2014,1,86,4,22599,0
2014,7,65,7,13794,0
2013,9,81,2,121203,0
2013,9,71,0,29367,0
2014,6,91,8,2250,0
2013,10,62,0,71910,1
2013,10,50,1,177060,1
2014,4,93,3,5940,0
2014,1,83,5,8970,0
2014,9,53,0,152154,0
2014,5,7,0,665520,1
2014,5,28,6,1467726,1
2014,2,87,0,2520,0
2014,4,77,4,13104,0
2014,1,95,2,408576,1
2014,1,70,12,220077,1
2014,3,30,2,733863,1
2014,4,58,0,43710,1
2014,4,68,9,32940,0
2014,3,16,2,1176066,1
2014,9,88,14,19422,0
2014,3,91,9,10452,0
2014,2,8,1,257301,0
2014,6,86,9,12627,0
2014,2,94,6,39432,0
2014,2,86,10,12627,0
2014,2,90,1,4560,0
2014,6,81,5,4209,0
2014,7,7,2,1364670,1
2013,8,90,2,4050,0
2014,4,68,7,841302,1
2013,10,9,3,1203681,1
2013,10,4,15,13608,0
2013,10,77,3,1467726,1
2014,7,48,1,407430,1
2014,5,16,1,48114,0
2014,10,96,1,140883,0
2014,8,10,3,5208,0
2014,1,36,3,58080,0
2014,2,71,0,4452,0
2014,6,23,4,510564,1
2014,10,71,1,329670,0
2014,3,70,2,205686,0
2013,9,82,1,29892,0
2014,4,17,4,549180,1
2013,9,27,7,364212,1
2014,5,80,2,66456,0
2014,8,100,2,139908,0
2014,9,80,7,7524,0
2014,4,70,1,13068,0
2013,8,21,0,5880,0
2013,10,19,0,7686,0
2014,5,92,8,5049,0
2014,8,12,4,388206,1
2014,8,93,6,108870,0
2014,8,6,9,16095,0
2014,7,65,8,101898,0
2014,4,74,0,9075,0
2014,3,1,0,1380678,1
2014,6,91,11,2520,0
2014,1,37,0,1467726,1
2014,5,87,7,638001,1
2013,10,19,2,215784,1
2014,4,37,0,1467726,1
2013,8,88,14,18960,0
2013,8,91,0,8643,0
2014,3,47,2,1467726,1
2014,3,99,1,22464,0
2013,9,54,0,274050,0
2014,4,91,13,17802,0
2014,1,58,3,14940,0
2014,8,94,11,21420,0
2014,9,3,3,16236,0
2014,3,97,5,22080,0
2014,10,78,0,1249050,1
2014,2,92,5,28836,0
2014,3,91,0,8643,0
2014,4,16,1,20925,0
2014,5,38,2,737505,1
2014,10,80,2,64449,0
2014,3,88,2,59094,0
2014,9,91,9,10452,0
2014,2,11,3,478785,1
2014,7,20,0,1128,0
2014,5,94,3,36864,0
2014,4,61,3,1101204,1
2014,4,94,14,22950,0
2014,2,12,1,34080,0
2013,9,46,3,728400,1
2014,4,9,8,109809,1
2014,6,51,1,1424022,1
2014,10,14,9,43524,0
2014,3,53,1,10980,0
2013,9,48,0,167856,0
2014,2,6,2,49410,0
2013,10,66,8,18576,0
2014,10,94,14,92340,0
2014,10,20,4,43524,0
2014,5,40,1,222129,0
2014,9,99,6,2184,0
2013,8,94,6,22950,0
2013,9,48,2,145260,0
2014,6,97,2,197208,1
2013,9,68,2,52026,1
2014,4,85,1,1006608,1
2014,8,71,4,152520,0
2014,10,91,2,14700,0
2014,2,90,7,43659,0
2014,8,63,14,468060,0
2014,2,50,3,17784,0
2014,6,24,0,321360,1
2014,3,91,12,17802,0
2013,10,68,1,226380,1
2014,9,35,3,600327,1
2014,10,82,5,11160,0
2014,3,86,7,120780,0
2013,8,87,1,2814,0
2014,10,53,1,15720,0
2014,5,91,0,8643,0
2014,9,85,7,3960,0
2013,8,79,3,562194,1
2014,10,18,0,1169802,1
2013,9,31,1,426321,1
2014,4,77,6,12906,0
2014,3,93,0,5544,0
2014,10,48,0,2262,0
2014,9,62,3,937815,1
2014,9,72,2,21606,0
2013,8,76,2,10611,0
2013,10,94,16,92136,0
2014,9,41,2,759357,1
2014,10,20,2,6513,0
2014,3,87,3,48276,0
2014,4,97,7,21480,0
2013,10,62,4,1405812,1
2014,10,48,2,631575,1
2014,3,3,2,150480,0
2014,2,73,2,298110,1
2014,1,91,1,109710,0
2014,5,83,2,24459,0
2014,3,45,1,970593,1
2014,2,17,2,49086,0
2013,9,29,2,604170,1
2014,4,91,8,2250,0
2013,10,82,5,11160,0
2014,7,1,0,119253,0
2014,3,67,0,2520,0
2014,3,58,0,1467726,1
2013,10,52,2,45201,1
2014,6,88,13,329478,0
2013,9,85,3,240372,1
2014,9,77,2,35574,0
2014,1,4,1,12243,0
2013,9,7,7,923940,1
2013,9,14,0,46431,0
2014,3,18,0,205320,0
2014,8,86,4,172617,0
2014,9,33,3,47088,0
2013,10,41,4,56100,1
2013,8,61,6,62946,0
2014,2,11,0,25602,0
2013,9,74,3,61419,0
2013,8,9,3,5460,0
2014,4,94,7,22950,0
2014,6,86,8,368220,0
2014,9,78,1,1241838,1
2014,10,4,11,21663,0
2014,4,82,6,298560,1
2014,10,13,0,35292,0
2013,10,76,6,82005,0
2013,10,69,5,16554,0
2014,3,19,0,5700,0
2014,5,5,0,46926,0
2014,10,85,0,2604,0
2013,9,49,9,7392,0
2013,9,63,0,600930,0
2014,6,86,10,5049,0
2014,4,39,0,2520,0
2014,1,90,10,39672,0
2013,10,31,4,54009,0
2014,10,8,1,11340,0
2014,4,84,1,101331,0
2013,9,53,1,750384,1
2014,5,3,6,16236,0
2014,10,24,1,109431,1
2014,8,54,0,4620,0
2014,7,96,2,31950,0
2013,10,59,2,137088,1
2014,3,36,2,1467726,0
2013,8,56,2,739590,1
2014,10,90,6,43659,0
2014,9,83,0,174369,0
2014,6,22,0,246264,0
2014,4,23,0,710190,1
2014,10,98,3,126990,0
2014,2,32,1,689130,1
2014,6,94,17,22644,0
2014,3,59,0,867510,1
2013,8,86,5,172617,0
2014,4,90,1,4500,0
2013,10,23,4,1512,0
2013,8,78,4,235107,1
2013,8,46,1,53505,1
2014,7,49,2,420357,1
2014,10,61,1,145635,0
2013,9,88,2,59496,0
2014,9,97,8,5049,0
2013,10,88,6,42861,0
2013,10,40,0,1467726,1
2014,6,40,0,4452,0
2014,10,95,9,5100,0
2014,9,93,3,5940,0
2014,9,35,0,4452,0
2014,1,93,6,119505,0
2013,9,23,1,43734,0
2014,10,85,4,100905,1
2014,5,22,5,22185,0
2014,5,74,3,195888,0
2014,8,28,2,41400,0
2014,4,2,1,63225,0
2014,10,21,7,94446,0
2014,7,4,0,6006,0
2014,2,21,0,1467726,1
2013,8,4,2,16800,0
2014,5,14,1,47712,0
2014,2,48,3,311370,1
2014,1,94,11,52824,0
2014,9,97,6,20436,0
2014,1,95,4,53820,0
2014,10,49,0,1353003,1
2014,9,86,3,172617,0
2013,10,63,1,707955,1
2014,7,41,5,31062,0
2014,8,9,4,1366440,1
2014,2,14,1,173802,1
2014,1,90,9,6000,0
2013,9,47,1,645606,0
2014,7,94,8,47424,0
2014,5,5,2,5940,0
2014,7,80,3,84600,0
2014,4,47,0,1169082,1
2014,9,24,2,212850,1
2014,1,50,3,140697,0
2014,6,88,9,51330,0
2013,9,64,3,123966,0
2014,5,86,5,34560,0
2014,7,43,1,294873,1
2014,1,97,3,5202,0
2014,8,87,2,5508,0
2014,2,54,0,9240,0
2014,4,28,3,7008,0
2014,8,92,2,115443,0
2013,9,4,4,18966,0
2013,10,97,5,68640,0
2014,6,14,0,5616,0
2014,2,87,3,48276,0
2013,8,71,0,984,0
2014,8,97,7,5049,0
2013,9,99,3,856674,1
2014,9,99,5,1026228,1
2014,1,94,4,22644,0
2014,10,1,3,1327134,1
2014,3,33,2,716562,1
2014,3,95,7,307719,1
2013,9,33,2,1467726,1
2014,8,9,2,53631,0
2014,6,14,4,43524,0
2013,8,72,1,6105,0
2013,8,87,7,46800,1
2014,6,7,3,30537,0
2013,8,27,1,34992,0
2014,5,45,0,51975,1
2014,6,53,2,41202,1
2013,8,37,2,1467726,1
2013,8,94,9,50175,0
2013,10,25,1,737490,1
2014,4,92,1,110376,0
2014,7,27,3,3276,0
2014,8,32,0,1467726,1
2013,8,33,2,147420,1
2013,10,42,4,12720,0
2014,6,41,0,12036,0
2014,7,34,5,7935,0
2014,8,99,1,2655,0
2014,4,80,0,53424,0
2013,10,35,2,272646,1
2014,3,94,6,39432,0
2014,7,82,6,5049,0
2013,10,81,3,6201,0
2014,10,89,0,14652,0
2013,9,41,2,182100,1
2014,1,20,0,517164,1
2014,3,49,6,378261,1
2014,7,72,5,35970,0
2014,1,25,0,8400,0
2014,1,36,6,7722,0
2014,9,16,2,1366170,1
2014,8,3,4,877734,1
2014,8,94,4,21420,0
2014,10,90,0,5244,0
2014,5,43,0,1467726,1
2014,5,48,2,385956,0
2014,3,34,1,1356498,1
2014,10,13,4,94869,0
2013,8,84,2,13350,0
2014,8,40,0,1467726,1
2014,7,24,2,284565,1
2014,8,10,0,315423,0
2014,9,20,5,548112,1
2014,3,91,7,2250,0
2014,6,96,2,243024,1
2014,8,45,5,704727,0
2014,1,76,5,13068,0
2014,5,36,0,1272879,1
2014,9,92,0,6090,0
2014,9,54,0,625617,1
2014,7,93,2,89856,0
2013,10,42,2,972414,1
2014,5,35,0,5280,0
2014,4,19,1,22659,0
2013,8,4,11,10353,0
2014,4,43,1,30888,0
2014,3,14,1,327294,1
2014,6,12,0,4452,0
2014,6,8,1,96660,0
2014,3,71,3,775746,1
2014,9,71,0,6450,0
2013,10,50,5,132297,1
2013,8,81,1,12036,0
2014,4,23,1,37296,0
2013,10,31,0,204525,1
2014,5,51,10,208365,1
2014,3,46,3,817629,1
2014,2,88,5,10062,0
2014,8,62,3,82992,0
2014,8,83,3,10575,0
2013,10,51,1,21420,0
2014,1,28,1,75306,0
2014,6,39,2,164862,1
2014,7,13,3,95742,1
2014,7,23,0,38016,0
2014,2,12,0,1129464,1
2014,10,26,0,2520,0
2014,6,49,4,431424,1
2014,5,52,0,3696,0
2014,5,74,2,187458,0
2014,5,94,14,22950,0
2014,6,42,0,378486,1
2014,3,94,20,5049,0
2014,4,99,4,56682,0
2014,10,37,7,29127,0
2013,9,86,5,172617,0
2014,6,80,2,66456,0
2014,1,53,5,954168,1
2014,7,88,6,21150,0
2014,9,96,0,5040,0
2014,9,82,2,184473,0
2013,9,35,0,192156,1
2014,3,88,11,44016,0
2013,10,53,0,6132,0
2014,3,17,2,11808,0
2014,8,10,1,8190,0
2014,4,61,0,2142,0
2013,9,88,11,146661,0
2014,9,10,2,181653,0
2013,8,96,5,5049,0
2014,2,33,0,63384,0
2013,8,39,4,212949,1
2014,5,33,0,12717,0
2014,3,78,0,14850,0
2014,6,4,12,18531,0
2014,6,95,1,2475,0
2014,6,69,0,6237,0
2013,9,19,8,2460,0
2014,3,84,2,101331,0
2014,9,90,3,3618,0
2013,9,97,2,37170,0
2014,2,61,0,2646,0
2013,10,53,1,1123185,1
2014,2,3,1,7080,0
2014,3,82,1,38376,0
2014,7,4,7,2262,0
2014,1,28,2,149286,1
2014,1,48,1,75852,0
2014,9,91,3,9792,0
2014,5,40,0,2772,0
2013,10,50,3,47214,1
2014,5,88,2,58725,0
2014,4,88,6,54108,0
2013,9,88,10,36156,0
2014,1,88,8,31740,0
2014,8,6,10,17661,0
2014,5,22,8,83592,0
2013,8,2,0,1467726,1
2013,9,79,2,268224,0
2014,1,45,5,1455,0
2014,6,94,20,5049,0
2014,8,74,3,739326,1
2014,7,98,4,4998,0
2014,4,68,0,3948,0
2014,7,5,5,1467726,1
2013,10,33,5,49368,0
2013,8,81,4,1467726,1
2014,4,4,10,19053,0
2013,9,17,7,7488,0
2014,4,3,3,7434,0
2014,6,65,4,935994,1
2013,8,41,0,8190,0
2013,9,93,0,6216,0
2013,9,48,3,705318,0
2014,2,94,19,5049,0
2013,9,98,5,20040,0
2013,10,88,13,333216,0
2014,5,59,2,469245,1
2013,10,96,1,73395,0
2014,7,19,3,828855,1
2014,10,77,0,16368,0
2014,4,91,5,12834,0
2014,7,3,7,877734,0
2013,8,52,1,1356498,1
2014,8,78,3,21942,0
2013,9,16,1,6750,0
2014,4,31,3,233877,0
2014,1,53,0,2478,0
2014,8,91,11,2520,0
2014,8,81,1,122409,0
2014,10,40,2,784851,1
2014,4,89,2,1453218,1
2014,7,15,2,58905,0
2014,10,57,8,5184,0
2014,7,27,7,4158,0
2014,7,46,0,49248,0
2014,6,70,1,23478,0
2014,1,8,0,1101711,1
2013,8,59,0,4500,0
2014,4,95,7,307719,1
2013,9,49,4,14880,0
2014,7,81,3,1467726,1
2013,8,59,1,9522,0
2013,8,94,14,95277,0
2014,5,91,5,12834,0
2014,7,8,5,5250,0
2014,10,46,1,906177,1
2014,10,28,2,183162,1
2013,9,42,0,31806,0
2013,8,17,2,316590,1
2013,10,90,12,1054248,1
2014,7,86,2,64395,0
2014,1,47,3,193617,1
2014,7,77,5,159315,0
2014,6,61,1,3843,0
2014,6,65,5,459345,1
2014,5,94,12,52824,0
2014,6,99,3,1038276,1
2014,9,80,6,6720,0
2013,9,22,2,53799,0
2014,8,100,3,735684,1
2013,10,87,7,46800,1
2014,6,17,0,4770,0
2014,1,28,0,2982,0
2014,6,54,3,176565,1
2013,8,76,0,5700,0
2014,9,13,0,1245564,1
2014,7,94,14,22950,0
2014,10,7,2,203550,0
2014,7,90,2,26532,0
2014,2,50,7,100167,0
2013,10,10,3,56544,0
2014,4,30,1,169470,0
2014,10,57,16,72450,1
2014,4,27,0,24192,0
2014,4,97,9,5049,0
2014,9,88,0,6426,0
2014,8,6,13,16182,0
2014,3,86,10,5049,0
2014,8,95,2,17556,0
2014,7,59,1,102372,0
2014,5,73,1,90306,1
2014,8,63,2,54990,0
2014,3,9,3,49617,0
2014,7,14,1,58194,0
2014,6,95,12,144576,1
2014,5,99,2,844020,1
2014,5,81,2,4002,0
2014,9,66,2,327972,0
2014,6,9,0,1467726,0
2014,3,86,9,12627,0
2014,3,91,3,9792,0
2014,10,85,3,42780,0
2014,9,9,2,37170,0
2014,9,91,6,4557,0
2013,10,78,3,68580,0
2014,6,80,1,673839,1
2014,9,85,4,100905,1
2013,8,76,1,4380,0
2014,1,29,1,2520,0
2013,10,15,0,1467726,1
2014,4,55,5,13398,0
2014,5,11,4,563904,0
2013,8,93,6,119505,0
2014,6,99,0,2352,0
2014,8,3,2,7434,0
2014,9,96,7,16830,0
2014,5,3,5,158796,0
2014,5,25,1,76032,1
2013,9,82,5,11160,0
2013,10,4,3,20097,0
2014,5,71,0,289323,1
2013,10,86,5,172617,0
2014,9,12,4,826851,1
2014,1,87,6,95850,1
2014,8,12,2,55449,0
2013,8,13,0,112941,1
2014,7,51,0,201240,0
2014,5,99,0,37710,0
2014,9,4,10,13041,0
2014,8,93,4,264096,1
2014,2,2,0,7038,0
2014,1,94,9,50175,0
2014,7,45,1,928710,1
2014,3,88,9,6396,0
2014,4,92,8,5049,0
2013,8,57,0,2520,0
2014,2,30,0,201588,0
2014,9,8,0,1089396,1
2014,2,3,2,150480,0
2014,10,13,6,50292,0
2014,10,7,1,971730,1
2013,9,78,1,170694,0
2013,10,84,3,888030,1
2014,8,93,0,6006,0
2014,2,51,3,1005192,1
2014,5,50,1,1356498,1
2014,9,84,0,3990,0
2014,10,38,2,575184,1
2014,7,64,0,428925,1
2014,3,80,2,66456,0
2014,1,99,1,22464,0
2014,10,68,1,1400349,0
2014,1,40,0,145329,0
2014,3,84,5,3948,0
2014,7,95,6,23232,0
2014,1,92,5,28836,0
2013,9,88,6,42861,0
2014,3,3,4,855972,1
2014,6,37,3,22770,0
2014,4,62,1,1065462,1
2014,4,4,13,19836,0
2014,8,85,1,9750,0
2014,4,4,11,17922,0
2013,10,52,1,181827,1
2013,10,90,6,58056,0
2014,4,89,1,36708,0
2013,9,13,3,210276,1
2013,9,85,0,66066,0
2014,8,96,8,6096,0
2014,9,4,12,14790,0
2014,4,72,1,29040,0
2013,10,78,6,79497,0
2013,8,93,1,22176,0
2014,10,97,6,20436,0
2014,6,87,0,2520,0
2014,5,18,2,37269,0
2013,9,23,4,1046829,1
2014,2,28,0,1467726,1
2014,8,28,9,25623,0
2014,2,86,4,22599,0
2014,7,76,0,424842,1
2014,8,46,0,188940,0
2013,9,88,13,333216,0
2014,4,19,3,810345,1
2014,9,93,1,22572,0
2014,4,93,6,120000,0
2014,1,94,5,39432,0
2014,8,85,5,4620,0
2013,10,94,9,50175,0
2014,5,4,14,40404,0
2014,7,35,1,621600,1
2014,1,54,4,29322,0
2014,4,3,2,78912,0
2013,10,66,7,18315,0
2014,2,35,3,220119,1
2014,1,70,3,11340,0
2014,9,15,2,18444,1
2013,10,5,4,166296,0
2014,6,88,2,58725,0
2014,6,46,0,47532,0
2014,1,65,2,858330,1
2014,10,57,4,2610,0
2014,9,83,4,26280,0
2013,8,38,0,1467726,1
2014,4,5,1,46926,0
2014,2,94,1,2982,0
2014,2,95,3,109620,0
2014,6,4,3,19680,0
2014,8,62,5,697248,0
2014,1,35,4,4950,0
2014,9,73,8,3723,0
2014,1,86,3,64395,0
2014,5,71,1,795777,1
2014,1,98,2,653292,1
2014,7,57,15,72450,1
2014,9,77,0,21627,0
2014,1,19,0,1467726,1
2013,9,37,0,7920,0
2014,4,64,4,24864,0
2014,1,45,3,11928,0
2014,10,33,1,64527,0
2014,8,94,6,51870,0
2014,8,21,1,20148,0
2014,9,22,4,912126,1
2013,9,98,3,41400,0
2014,4,86,5,34560,0
2014,6,36,0,37506,0
2013,8,20,0,1467726,1
2014,3,79,1,16896,0
2013,10,55,11,8484,0
2014,5,80,4,161568,0
2014,10,86,2,172617,0
2014,3,4,6,14337,0
2014,3,46,0,222318,0
2013,10,76,1,29946,0
2014,4,98,2,767232,1
2014,6,82,5,11160,0
2014,7,31,0,135072,1
2013,10,60,0,1467726,1
2014,10,88,3,7638,0
2014,1,59,9,3825,0
2014,7,91,9,537672,0
2014,9,39,4,13440,0
2013,8,61,14,8568,0
2014,10,30,2,775746,1
2014,6,84,0,3528,0
2013,10,90,3,4050,0
2014,9,96,5,38133,0
2014,1,89,0,17775,0
2014,2,93,1,22176,0
2014,10,76,2,1334736,1
2013,9,4,3,19575,0
2014,6,98,0,4452,0
2014,5,87,4,244737,1
2014,7,54,2,536220,1
2013,9,11,4,638550,1
2014,5,77,1,530901,1
2014,8,30,2,22032,0
2014,5,3,3,7371,0
2013,9,44,0,5880,0
2014,8,28,0,6576,0
2014,7,96,3,6120,0
2014,1,12,1,955260,1
2014,5,92,5,49662,0
2013,8,86,3,64395,0
2014,6,62,0,16269,0
2013,10,87,2,5508,0
2014,1,94,7,47424,0
2014,5,100,0,22059,0
2013,10,1,0,30012,0
2014,6,18,0,3570,0
2014,9,88,8,6120,0
2014,3,2,0,1467726,1
2014,8,97,6,6096,0
2014,3,92,5,28836,0
2014,9,44,1,457071,1
2014,6,65,2,11025,0
2014,10,99,2,16896,0
2014,8,55,5,10692,0
2013,9,4,13,339264,1
2014,6,88,4,244296,0
2014,6,90,7,43659,0
2013,9,7,4,9711,0
2014,6,43,1,523605,1
2014,6,40,2,164724,0
2014,6,95,14,8775,0
2014,8,14,0,349590,1
2014,10,84,4,3948,0
2013,10,97,0,17472,0
2013,8,64,1,121581,0
2014,9,33,6,16389,0
2014,2,50,0,142044,0
2014,7,88,4,227070,0
2014,7,3,2,7434,0
2014,2,9,0,32292,0
2014,4,6,1,1366440,1
2014,2,90,4,7056,0
2014,9,23,2,16389,0
2013,9,88,4,149058,0
2013,9,19,6,397698,1
2013,9,86,7,34560,0
2014,9,90,5,1397604,0
2014,9,99,7,5049,0
2014,5,12,0,567369,1
2014,10,26,2,98988,1
2014,8,10,2,26703,0
2013,8,41,1,1467726,1
2014,2,3,0,79323,0
2014,8,6,15,10527,0
2014,8,77,1,478032,1
2014,6,85,8,474138,1
2014,5,85,1,66603,0
2014,6,88,7,44400,0
2013,9,82,3,746604,1
2014,2,65,4,29946,0
2013,10,12,2,33600,0
2014,1,92,0,5712,0
2014,3,75,0,1375842,1
2014,9,60,0,337284,1
2014,5,80,0,53424,0
2014,9,39,1,123066,1
2013,9,87,4,196812,1
2014,9,15,1,10752,0
2014,7,25,0,6342,0
2014,4,40,2,381408,1
2014,7,77,4,103797,0
2014,5,45,2,1467726,1
2014,4,5,4,123492,0
2014,2,23,0,27729,0
2014,8,88,9,49170,0
2014,7,24,0,6216,0
2013,10,50,4,52548,0
2014,10,3,1,7434,0
2014,6,31,2,26460,0
2014,6,25,1,8556,0
2014,2,41,4,565386,1
2014,6,92,8,5049,0
2013,9,3,4,32700,0
2014,5,3,8,855972,1
2014,1,24,0,10032,0
2014,9,13,2,110448,0
2014,1,76,7,11988,0
2014,4,92,3,20700,0
2014,4,69,1,2100,0
2014,5,82,7,11160,0
2014,10,57,12,7089,0
2014,5,7,4,98412,0
2013,9,28,2,365313,1
2014,4,64,10,214560,1
2014,9,86,8,5049,0
2014,6,5,1,15147,0
2014,3,66,0,4200,0
2014,2,86,3,64395,0
2013,9,29,5,6438,0
2014,2,11,5,85875,0
2014,6,76,2,668307,1
2014,6,32,0,10044,0
2014,3,78,4,112875,0
2014,6,39,0,2520,0
2014,5,30,2,334305,1
2014,1,6,0,109848,0
2014,8,91,10,10452,0
2013,8,88,11,146661,0
2013,8,90,13,42471,0
2014,8,62,4,10998,0
2013,10,4,0,11088,0
2013,9,40,1,157290,0
2014,5,3,2,78336,0
2014,2,52,5,13452,0
2013,10,49,1,1422201,1
2014,4,20,2,9720,0
2013,9,49,18,70875,0
2014,9,74,2,23157,0
2014,8,91,5,12834,0
2014,1,53,4,8640,0
2014,1,2,1,52488,0
2014,10,11,1,946920,1
2014,5,49,1,6435,0
2013,9,64,4,30927,0
2014,3,70,1,226380,0
2014,9,91,7,2250,0
2014,2,38,0,225786,0
2014,7,62,2,578016,1
2014,8,98,3,4998,0
2014,6,3,2,156021,0
2013,8,66,0,1467726,1
2013,10,95,2,408576,1
2014,8,71,5,319800,1
2014,10,21,9,25623,0
2014,4,81,4,8439,0
2013,8,44,1,640770,0
2014,8,85,0,5964,0
2014,2,70,4,30186,0
2014,6,77,0,403992,1
2014,5,35,2,76950,0
2013,8,27,2,1111074,1
2014,10,88,4,227070,0
2013,9,79,0,9918,0
2013,10,85,3,54285,0
2014,10,37,4,67050,0
2014,10,80,7,7524,0
2014,8,89,0,14652,0
2014,3,78,6,116886,1
2014,3,35,0,1467726,1
2014,4,94,12,52824,0
2014,3,92,6,5049,0
2014,5,19,0,6798,0
2014,9,45,0,1467726,1
2014,1,96,2,16740,0
2014,6,11,2,73950,0
2014,5,95,7,307719,1
2014,10,99,3,878040,1
2014,2,45,2,73185,1
2014,3,4,17,338706,1
2014,10,23,3,1259181,1
2014,8,54,3,249591,1
2013,10,4,2,7467,0
2014,3,86,6,34560,0
2014,7,94,16,9828,0
2014,2,57,1,151200,0
2014,10,94,4,21420,0
2014,2,66,2,688761,1
2014,3,90,5,16128,0
2014,3,49,2,10800,0
2013,10,94,1,22950,0
2013,8,47,0,3528,0
2014,3,19,2,10530,0
2013,9,84,4,888030,1
2013,9,36,0,1444053,1
2014,7,62,1,246210,1
2013,9,80,0,53424,0
2014,8,14,6,13038,0
2014,4,68,6,6480,0
2014,2,56,0,508620,1
2013,10,4,6,15399,0
2014,7,88,14,19422,0
2014,10,31,0,70065,0
2014,3,85,0,66603,0
2014,6,41,1,18180,0
2013,9,86,10,12627,0
2013,10,28,1,1382139,0
2014,3,96,2,67338,0
2014,1,70,11,148512,0
2014,2,53,2,1000248,1
2014,6,5,0,46926,0
2013,9,92,2,89661,0
2014,6,95,10,57600,0
2014,2,33,3,1251513,1
2014,3,47,0,17325,0
2014,8,34,6,15687,0
2014,4,22,0,710190,1
2014,7,93,5,119505,0
2014,9,39,5,40848,0
2014,2,11,7,3003,0
2014,10,53,0,923733,1
2013,10,30,0,1467726,1
2014,4,39,5,705888,1
2014,2,4,2,10395,0
2014,4,93,7,4752,0
2014,4,42,0,1467726,1
2014,10,34,0,1467726,1
2013,8,86,4,22599,0
2014,1,26,2,1447695,1
2013,10,81,4,1467726,1
2014,3,5,2,6237,0
2014,10,87,0,2520,0
2014,1,93,2,76152,0
2014,8,91,0,8643,0
2014,6,12,3,43524,0
2013,10,93,2,76152,0
2014,10,54,3,301953,1
2014,6,4,8,10530,0
2013,9,41,1,26460,0
2014,2,52,4,26394,0
2014,8,1,0,1467726,1
2014,4,4,6,150696,0
2014,3,39,0,498348,1
2013,10,90,8,39672,0
2014,1,50,4,430560,0
2014,8,49,3,84006,0
